period,Liberal,Moderate,Conservative
2022-12-26,0,0,0
2023-01-02,0,0,0
2023-01-09,0,0,0
2023-01-16,0,0,0
2023-01-23,0,0,0
2023-01-30,0,0,0
2023-02-06,0,0,0
2023-02-13,0,0,0
2023-02-20,0,0,0
2023-02-27,0,0,0
2023-03-06,0,0,0
2023-03-13,0,0,0
2023-03-20,0,0,0
2023-03-27,0,0,0
2023-04-03,0,0,0
2023-04-10,0,0,0
2023-04-17,0,0,0
2023-04-24,0,0,0
2023-05-01,0,0,0
2023-05-08,0,0,0
2023-05-15,0,0,0
2023-05-22,0,0,0
2023-05-29,0,0,0
2023-06-05,0,0,0
2023-06-12,0,0,0
2023-06-19,0,0,0
2023-06-26,0,0,0
2023-07-03,0,0,0
2023-07-10,0,0,0
2023-07-17,0,0,0
2023-07-24,0,0,0
2023-07-31,0,0,0
2023-08-07,0,0,0
2023-08-14,0,0,0
2023-08-21,0,0,0
2023-08-28,0,0,0
2023-09-04,0,0,0
2023-09-11,0,0,0
2023-09-18,0,0,0
2023-09-25,0,0,0
2023-10-02,0,0,0
2023-10-09,0,0,0
2023-10-16,0,0,0
2023-10-23,0,0,0
2023-10-30,0,0,0
2023-11-06,0,0,0
2023-11-13,0,0,0
2023-11-20,0,0,0
2023-11-27,0,0,0
2023-12-04,0,0,0
2023-12-11,0,0,0
2023-12-18,0,0,0
2023-12-25,0,0,0
2024-01-01,0,0,0
2024-01-08,0,0,0
2024-01-15,0,0,0
2024-01-22,0,0,0
2024-01-29,0,0,5
2024-02-05,0,0,1
2024-02-12,2,0,2
2024-02-19,5,0,10
2024-02-26,15,4,6
2024-03-04,0,5,5
2024-03-11,0,0,4
2024-03-18,1,0,1
2024-03-25,0,0,4
2024-04-01,1,1,11
2024-04-08,3,0,10
2024-04-15,1,1,1
2024-04-22,0,0,2
2024-04-29,0,0,1
2024-05-06,1,0,1
2024-05-13,0,0,0
2024-05-20,0,0,0
2024-05-27,0,0,0
2024-06-03,0,1,0
2024-06-10,1,0,0
2024-06-17,0,2,2
2024-06-24,11,0,6
2024-07-01,0,0,4
2024-07-08,0,2,3
2024-07-15,0,1,2
2024-07-22,0,2,0
2024-07-29,0,0,3
2024-08-05,0,0,0
2024-08-12,2,0,10
2024-08-19,5,0,2
2024-08-26,0,0,2
2024-09-02,0,4,2
2024-09-09,6,6,7
2024-09-16,1,0,1
2024-09-23,0,0,3
2024-09-30,1,0,1
2024-10-07,0,0,2
2024-10-14,9,0,13
2024-10-21,0,2,2
2024-10-28,0,0,14
2024-11-04,0,1,1
2024-11-11,0,0,0
2024-11-18,0,0,0
2024-11-25,0,0,0
2024-12-02,0,0,0
2024-12-09,0,0,0
2024-12-16,0,0,0
2024-12-23,0,0,0
